DW_ENDERECO;address_number;city;country;customer_address_1;customer_address_2;customer_address_3;customer_address_4;state;zip_code
9c1a5375e901ddd10499cab16f88553067bd71c973eb34d5cad63297baf8da41;10009672;Phoenix;US;Attention: Accounts Payable;PO Box 21502;Não Informado;Não Informado;AZ;85036
764e038f0fa4d5b76ced929c2b12f88b03d6da27376c482109bb790220f7ada2;10019942;New Castle;US;299 East Country Road 300 South;Não Informado;Não Informado;Não Informado;IN;47362
cdbeceb8334225337e7ee4879d4bddbb348342777bf5edff5555a4f8d7ab4c18;10022252;Crestwood;US;13907 S Kostner Avenue;Não Informado;Não Informado;Não Informado;IL;60445-2205
03b0e1cf7e0a645fbed13cbcbf4a46b33a3bdbf1bbfa7b62aad32b833d9031ee;10010912;Fort Smith;US;PO Box 849;Não Informado;Não Informado;Não Informado;AR;72902-0849
1abfb64f4560aabb02bdab909bbaf591c055a5253d201b74570d05679f3c84a7;10021911;Te Rapa Hamilton;US;Cnr Avalon Drv & Tasman Road;PO Box 20077;Não Informado;Não Informado;MS;Não Informado
76d36b306bb3ee3067cff73ec3012b40755da16e54e0cc69021ce4867b8e8bbe;10021184;Aurora;US;14312 Stenbock Way NE #F;Não Informado;Não Informado;Não Informado;OR;97002
b8d09e02db732beff9f08ed3884a160cade8d52939cf2ab4070442b65521eb60;10022730;Warren;US;21533 Mound Road;Não Informado;Não Informado;Não Informado;MI;48091-2991
4e07c99d3f334a6bbcd9b062c3c6707443d48a8b930b20d5159646010ed45898;10002142;"";"";"";"";"";"";"";""
179a4f10dc3cbb07577d396a168ddafea5df1084fb29718974e2d2b181fff2a6;10016334;Overland Park;US;Attention Accounts Payable Department;PO Box 12990;Não Informado;Não Informado;KS;66282-2990
d6a05d6c18a4d466edb12ce58113450a9c8f2215d0ed6045e2ecc30d84c0b304;10014810;Canton;US;Attention: Accounts Payable Department;PO Box 8844;Não Informado;Não Informado;OH;44711-8844
89b254e63ef4c5d9fc068ccd2e54b26066fcf3525bf8c4cb9813a349c680abba;10021300;"";"";"";"";"";"";"";""
0fd24c72c7787d291dd5aad0e4f471c2b39e2256b00ca4816fda3ec890ff4d50;10019909;Shawano;US;500 Airport Drive;Não Informado;Não Informado;Não Informado;WI;54166
4e143ec5942d00ff2ad988d2d56a952ea1d6765f59dfbc320540384f91ea870d;10011821;"";"";"";"";"";"";"";""
6c89fdad2ec15cd71ad42cb902c2d94b72113d21864cf755fb979527de014a9e;10025239;Não Informado;UK;Não Informado;Não Informado;Não Informado;Não Informado;Não Informado;Não Informado
0bbe89cc33f7b6f9b3b119e0f911fe6fa4763a61f357af57a3fb4bf620a3c0a4;10018628;Tigard;US;12805 SW 77th Place;Não Informado;Não Informado;Não Informado;OR;97223
200d125e35485ff3f2764fdea33a6276b720530d340531e5f12399ba5d0bd7ea;10025061;Canton;US;PO Box 80509;Não Informado;Não Informado;Não Informado;OH;44708
3be84b57f490ce080f3aeae6cfda31b16e08411b55e08fa22800a8438e670cdc;10002220;Prince George;CA;1594 Nicholson Street;Não Informado;Não Informado;Não Informado;BC;V2N 1V6
e9e119407fe26b4d68a134ee677122442d43d15424db499270ea332e48fd50c8;10021222;Buffdale;US;14296 South Pony Express Road;Não Informado;Não Informado;Não Informado;UT;84065
